,Tweet Source,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
39,@BBC,RT @bbcrb: Thank goodness a psychic alpaca has predicted tonight's result. We just couldn't bear the intrigue any longer... 😂️⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿 htt…,0.6705,0.234,0.0,0.766,39
40,@BBC,"RT @BBCiPlayer: In 1968, one determined factory worker led her colleagues out on strike for equal pay and better working conditions. 
#Made…",0.5267,0.202,0.111,0.687,40
41,@BBC,"RT @BBCOne: To celebrate 70 years of the NHS, @StaceyDooley and @JonniePeacock join a team of celebs to get first-hand experience at one of…",0.7096,0.219,0.0,0.781,41
42,@BBC,"RT @bbcthree: This 13-year-old made an app to help disabled people find accessible services. 

Watch more Solutions Lab here: https://t.co/…",0.5709,0.207,0.0,0.793,42
43,@BBC,"RT @BBCSport: Brilliant 😂

National Grid is preparing for a power surge equivalent to 23 million fridge doors opening at once at half-time…",0.7717,0.234,0.058,0.708,43
44,@BBC,"🎨 What Picasso's Kitchen reveals about his art.
👉 https://t.co/f60bZFnAiv https://t.co/b1xirRNFMC",0.0,0.0,0.0,1.0,44
45,@BBC,🤣🐐 This look relaxing to you? https://t.co/v5JwLDN3wm,0.4939,0.348,0.0,0.652,45
46,@BBC,"RT @BBCBreakfast: 💪 Another win in the battle against plastic straws! 
#plastic #plasticstraws https://t.co/VsJ7Co4gXU",0.3595,0.208,0.132,0.66,46
47,@BBC,"RT @BBC100women: Recently discovered letters written by Emmeline Pankhurst shed new light on the suffragette and her campaign to help the ""…",0.4019,0.114,0.0,0.886,47
48,@BBC,🎾 Sue Barker hosts live coverage of the opening day of the Championships from the famous Queen's Club in west Londo… https://t.co/KaUoUWXRTE,0.4939,0.132,0.0,0.868,48
49,@BBC,"RT @BBCEngland: After more than 50 years of ""hurt"" could this be England's World Cup?  The answer lies with Gareth Southgate's 23-man squad…",-0.4215,0.0,0.113,0.887,49
50,@BBC,RT @bbcpress: #CBeebiesRadio presents four stories based on the real life experiences of refugee families and told from the perspectives of…,0.0,0.0,0.0,1.0,50
51,@BBC,🐔🚚 A stowaway hen found itself on a real-life Chicken Run when it hitched a ride out of its farm on a supermarket l… https://t.co/U5dqv2LxvB,0.0,0.0,0.0,1.0,51
52,@BBC,RT @BBCOne: “At the end of the year I will have been chairing Question Time for a quarter of a century and I have decided that this is the…,0.0,0.0,0.0,1.0,52
53,@BBC,"Recognise this font?

😢 There's quite a story behind it. https://t.co/B0iGW2GvnP",-0.4767,0.0,0.237,0.763,53
54,@BBC,"🦐 How a delicious crustacean could hold the key to reducing the pollution clogging up our oceans. 
👉… https://t.co/n4mxP9T3cv",0.5719,0.179,0.0,0.821,54
55,@BBC,🌊🤔 Imagining a future where we all live at sea. https://t.co/Twfeur95S9,0.0,0.0,0.0,1.0,55
56,@BBC,"Discover the history of one of the toughest jobs in sport - the England football manager. ️⚽️

Managing England: Th… https://t.co/JgEgXkIHBZ",-0.0772,0.0,0.064,0.936,56
57,@BBC,Robert Lee quit his well paid Wall Street job to feed the homeless. https://t.co/2Db5mb9tJt,0.2732,0.139,0.0,0.861,57
58,@BBC,"RT @5liveSport: 1990 ❌
2002 ❌
2014 ❌
2018 ❌

In four of the last eight World Cups, the holders have lost their opening game!

📻📱 ⚽️ https:/…",-0.3802,0.0,0.077,0.923,58
59,@BBC,"The story of a 13-year-old girl who dreams of becoming the first female eagle hunter in Mongolia. 🦅

Storyville: Ea… https://t.co/Alhp6nEWOS",0.4019,0.124,0.0,0.876,59
60,@BBC,"💔 One in five British mammals are at risk of extinction, according to new research.
👉 https://t.co/dbNfpmAiv2 https://t.co/RqqYh707C1",-0.6369,0.0,0.206,0.794,60
61,@BBC,"🐶❤️🐥 #FatherOfTheYear goes to Fred the Labrador, who became 'dad' to nine beautiful ducklings after their mother di… https://t.co/7Gppj7yPLB",0.5994,0.178,0.0,0.822,61
62,@BBC,❤️ Celebrating #FathersDay when your father is no longer around. https://t.co/4ot2AjuTbf,0.3612,0.233,0.138,0.629,62
63,@BBC,😍 ☁️ A beautiful phenomenon caught on film.  https://t.co/wz6CUbJDR1,0.7845,0.434,0.0,0.566,63
64,@BBC,"😂🔥 Nothing says #HappyFathersDay like a good, old-fashioned roasting from your daughter. https://t.co/0dqwntX5uj",0.1999,0.193,0.141,0.666,64
65,@BBC,"RT @BBCOne: Which dad is your dad? (Ours is defo Nature Dad!) 
#HappyFathersDay #FathersDay https://t.co/vFZoJL13e1",0.0,0.0,0.0,1.0,65
66,@BBC,📷😍 This field of poppies in the Black Country has been inspiring local photographers. https://t.co/bK8iEUueEa,0.4215,0.167,0.0,0.833,66
67,@BBC,👚👖 The community launderette inspired by the 'saint of the slums'. https://t.co/NtL6CaTeZQ,0.4939,0.225,0.0,0.775,67
68,@BBC,"😭✊#DadGoals with former F1 driver @RuBarrichello. 
#FathersDay https://t.co/77GfG51TSO",0.0,0.0,0.0,1.0,68
69,@BBC,📸🚘 A playful look at Mexico's enduring love affair with one of the most recognisable cars in automotive history fro… https://t.co/yWoolKb5p4,0.7964,0.283,0.0,0.717,69
70,@BBC,"RT @bbcdoctorwho: Happy birthday to Jodie Whittaker, the Thirteenth Doctor!🎁🎉 #DoctorWho https://t.co/TNi3zHjsHG",0.6114,0.266,0.0,0.734,70
71,@BBC,RT @BBCFood: How about this MEGA breakfast for Dad this morning? 👍 https://t.co/2jakwwsVun https://t.co/qyfcI76vm9,0.0,0.0,0.0,1.0,71
72,@BBC,"RT @CBeebiesHQ: The incredibly complicated Kick song lyrics. 

You ask, we deliver 👍

 @HEYDUGGEE 

#WorldCup2018 

#ENGTUN

#FifaWorldCup2…",0.0,0.0,0.0,1.0,72
73,@BBC,"Happy #FathersDay!

🕺👏😄 We dare you to watch these dads dance with their babies without smiling! https://t.co/XCJaqcts7A",0.4222,0.197,0.114,0.689,73
74,@BBC,"Tonight, @KirstyWark and @Mr_Mansaray go behind the scenes at @royalacademy. 

Royal Academy Summer Exhibition | 9p… https://t.co/P44CCk109J",0.0,0.0,0.0,1.0,74
75,@BBC,"RT @bbctms: Australia. Oh dear. 

Football ❌
Rugby ❌
Cricket ❌

#bbccricket https://t.co/6ScQ5Gw1c8",0.3818,0.148,0.0,0.852,75
76,@BBC,RT @BBCMOTD: Iceland are making #worldcup history... and they're taking everyone along with them!  https://t.co/XIVT8Sij16 #bbcworldcup #AR…,0.0,0.0,0.0,1.0,76
77,@BBC,"😂🛁 If you think cleaning your bath is a pain, please spare a thought for these guys! https://t.co/aIpja4kCyJ",-0.3164,0.116,0.181,0.704,77
78,@BBC,😁 Russian workers have been getting ready for the #WorldCup by learning how to smile more.  https://t.co/Qv9BoVmX25,0.7906,0.308,0.0,0.692,78
79,@BBC,"An astonishing journey revealing the awesome power of the natural world. 🌍🐝🐦

Earth: One Amazing Day | 6:30pm |… https://t.co/E7ivezQMWU",0.886,0.394,0.0,0.606,79
80,@BBC,❤️ There's a magical quality to children that gets through to the person behind the dementia diagnosis. https://t.co/ONNwNsRTAx,0.0,0.0,0.0,1.0,80
81,@BBC,RT @bbcthree: Imagine waking up one morning and you've lost the ability to speak or move your hands. https://t.co/NvcizyjNox,0.0,0.106,0.106,0.787,81
82,@BBC,"Scientists have been shocked by the mysterious deaths of ancient African baobab trees, which may live hundreds if n… https://t.co/pXM5lK7GRK",-0.3182,0.0,0.108,0.892,82
83,@BBC,👣🌎 Did you know that our feet will walk more than four times around the world during an average lifetime? https://t.co/p7AwONQNGW,0.0,0.0,0.0,1.0,83
84,@BBC,"From lemon yoghurt to strawberry and banana: these are the easiest ice creams to make with your kids. 🍦🍋🍓🥄

👉… https://t.co/neqUgrR7VC",0.4215,0.123,0.0,0.877,84
85,@BBC,We think we've found Wally... 😂https://t.co/StERHqQurb,0.0,0.0,0.0,1.0,85
86,@BBC,"'If I'd failed, it would have set women back generations.'

Meet Jo Reynolds, the UK's first female firefighter.… https://t.co/PFmp62j8Yh",-0.5106,0.0,0.155,0.845,86
87,@BBC,"🥦☕️ Broccoli coffee is the new health trend nobody asked for...
👉 https://t.co/fWo8kZDN1A https://t.co/liWZ9jp0jp",0.0,0.0,0.0,1.0,87
88,@BBC,"RT @BBCSport: #PORESP was absolutely unbelievable! 😍

 #WorldCup #bbcworldcup https://t.co/ALW30zBPsY",0.6872,0.34,0.0,0.66,88
89,@BBC,"RT @BBCNews: US child migrants: 2,000 separated from families in six weeks https://t.co/RFFjghf3sA",0.0,0.0,0.0,1.0,89
90,@BBC,"RT @CBeebiesHQ: 🚨New Presenter Alert 🚨

Please join us in welcoming our new presenter!

Evie 💁🏻

Wish her the best of luck 🙌🏽✨

#CBeebiesHo…",0.9682,0.5,0.0,0.5,90
91,@BBC,RT @BBCScotlandNews: Major fire ravages Glasgow School of Art Mackintosh Building https://t.co/R0jsiyPvFV,-0.34,0.0,0.179,0.821,91
92,@BBC,Colourful flags have appeared across London's West End as the @RoyalAcademy celebrates its 250th anniversary.… https://t.co/fT7gXLbeAE,0.5719,0.198,0.0,0.802,92
93,@BBC,"🐺🏔🌲🎧
Not quite ready to wake up yet? 

Sit back, close your eyes and listen to the incredible sounds of Alaska... https://t.co/oxXS1KWHKW",-0.3241,0.0,0.1,0.9,93
94,@BBC,😂 Yer maw + technology = carnage https://t.co/nYbvEqad99,0.4404,0.277,0.139,0.584,94
95,@BBC,"📻📚🎧 Listen to @BBCRadio4's serialisation of Margaret Atwood's novel set in a world of women under oppression. 

The… https://t.co/jaYFlRtztE",0.3182,0.119,0.0,0.881,95
96,@BBC,🌊🌋 Watch what happens when molten lava from Hawaii's Kilauea volcano meets the sea — what looks like steam is actua… https://t.co/5VbSwmFWw7,0.3612,0.111,0.0,0.889,96
97,@BBC,When you remember that you get a lie in tomorrow... 🎉😂#FridayFeeling @george_ezra https://t.co/if2tZARVXc,0.0,0.0,0.0,1.0,97
98,@BBC,"RT @bbcwritersroom: Attention #writers Studio Sitcom needs YOU!
Check out a great new post on our blog from one of our #comedy #script read…",0.6588,0.166,0.0,0.834,98
99,@BBC,RT @BBCWomansHour: 💚 What do you love about Dads? @F_of_Daughters shares some top tips about how to be a great father and the kind of role…,0.9062,0.359,0.0,0.641,99
100,@CBS,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,0.3555,0.199,0.122,0.68,0
101,@CBS,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,0.0,0.0,0.0,1.0,1
102,@CBS,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,0.0,0.0,0.0,1.0,2
103,@CBS,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",0.9392,0.493,0.0,0.507,3
104,@CBS,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",0.3595,0.128,0.0,0.872,4
105,@CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",-0.296,0.0,0.167,0.833,5
106,@CBS,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,0.1779,0.147,0.12,0.734,6
107,@CBS,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",-0.5562,0.134,0.315,0.551,7
108,@CBS,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",0.5093,0.171,0.0,0.829,8
109,@CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",-0.296,0.0,0.167,0.833,9
110,@CBS,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,0.0,0.0,0.0,1.0,10
111,@CBS,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,0.0,0.0,0.0,1.0,11
112,@CBS,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,0.4767,0.22,0.0,0.78,12
113,@CBS,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,0.8478,0.406,0.0,0.594,13
114,@CBS,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,0.92,0.463,0.0,0.537,14
115,@CBS,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",0.4404,0.175,0.088,0.737,15
116,@CBS,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,0.4404,0.153,0.0,0.847,16
117,@CBS,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,0.836,0.467,0.0,0.533,17
118,@CBS,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,0.0,0.0,0.0,1.0,18
119,@CBS,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,0.6369,0.318,0.0,0.682,19
120,@CBS,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,0.7978,0.543,0.0,0.457,20
121,@CBS,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,0.9523,0.516,0.0,0.484,21
122,@CBS,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,0.5994,0.302,0.0,0.698,22
123,@CBS,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",0.4215,0.123,0.0,0.877,23
124,@CBS,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,0.8932,0.517,0.0,0.483,24
125,@CBS,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",0.0,0.0,0.0,1.0,25
126,@CBS,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,0.0,0.0,0.0,1.0,26
127,@CBS,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,0.8908,0.491,0.0,0.509,27
128,@CBS,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,0.0,0.0,0.0,1.0,28
129,@CBS,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,0.4926,0.262,0.0,0.738,29
130,@CBS,@writerlindsayb You're welcome! #TonyAwards,0.5093,0.523,0.0,0.477,30
131,@CBS,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,0.7579,0.481,0.0,0.519,31
132,@CBS,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",0.6467,0.248,0.0,0.752,32
133,@CBS,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,0.0,0.0,0.0,1.0,33
134,@CBS,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,0.636,0.276,0.0,0.724,34
135,@CBS,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,0.8834,0.563,0.0,0.437,35
136,@CBS,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,0.0,0.0,0.0,1.0,36
137,@CBS,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,0.7351,0.296,0.079,0.625,37
138,@CBS,RT @KatLargent: MAGIC #TonyAwards,0.0,0.0,0.0,1.0,38
139,@CBS,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,0.0,0.0,0.0,1.0,39
140,@CBS,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,0.4019,0.162,0.0,0.838,40
141,@CBS,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,0.9151,0.457,0.0,0.543,41
142,@CBS,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,0.6369,0.375,0.0,0.625,42
143,@CBS,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,0.1511,0.102,0.0,0.898,43
144,@CBS,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,0.1531,0.148,0.0,0.852,44
145,@CBS,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,0.8834,0.563,0.0,0.437,45
146,@CBS,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,0.0,0.0,0.0,1.0,46
147,@CBS,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,0.2714,0.207,0.0,0.793,47
148,@CBS,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,0.0,0.0,0.0,1.0,48
149,@CBS,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,0.8883,0.567,0.0,0.433,49
150,@CBS,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,0.9134,0.613,0.0,0.387,50
151,@CBS,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,0.0,0.0,0.0,1.0,51
152,@CBS,"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",0.25,0.08,0.0,0.92,52
153,@CBS,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,0.4588,0.15,0.0,0.85,53
154,@CBS,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",0.0,0.0,0.0,1.0,54
155,@CBS,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,0.3612,0.263,0.0,0.737,55
156,@CBS,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,0.8908,0.57,0.0,0.43,56
157,@CBS,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,0.0,0.0,0.0,1.0,57
158,@CBS,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,0.0,0.0,0.0,1.0,58
159,@CBS,RT @misschae: I love theatre so much. #TonyAwards,0.6369,0.412,0.0,0.588,59
160,@CBS,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,0.0,0.0,0.0,1.0,60
161,@CBS,"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",0.6369,0.244,0.0,0.756,61
162,@CBS,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,0.8834,0.563,0.0,0.437,62
163,@CBS,"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",0.6696,0.36,0.0,0.64,63
164,@CBS,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,0.3182,0.15,0.0,0.85,64
165,@CBS,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,0.0,0.0,0.0,1.0,65
166,@CBS,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,0.4374,0.145,0.0,0.855,66
167,@CBS,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",0.0,0.0,0.0,1.0,67
168,@CBS,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,0.4184,0.157,0.0,0.843,68
169,@CBS,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,0.68,0.237,0.0,0.763,69
170,@CBS,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,0.0,0.0,0.0,1.0,70
